,0
133,95257.34851677809
134,140842.57736562658
135,110424.87328061927
136,69185.03127519134
137,130020.44020899199
138,80007.1697048042
139,132042.80153506063
140,103948.12296740524
141,107890.15252206568
142,95257.35080813896
143,108101.8498000335
144,99199.38061739504
145,90911.96523769666
146,101925.76367810182
147,90911.96574688796
148,99199.38163577765
149,79921.94102518167
150,60398.88492630888
151,57946.43840541039
152,65412.41111364588
153,57124.99573394749
154,61019.39120241627
155,54076.37784890458
156,48663.9480659971
157,68290.69633903261
158,44314.65160998143
159,41707.42006403953
160,57213.09704406001
161,51267.270508534275
162,57819.8770603938
163,63475.18622971978
164,69842.9336354211
165,69842.93389001675
166,69842.9341446124
167,76107.98921662476
168,53039.954384102486
169,67820.57434611768
170,55062.315710171126
171,67820.57485530898
172,64853.28231511079
173,45806.092213509604
174,61452.82846799027
175,63475.18953946326
176,59842.242205397226
177,71762.6056829486
178,63475.190303250216
179,63475.19055784587
180,67820.57714666985
181,67820.5774012655
182,63475.191321632825
183,61452.83075935114
184,67820.57816505246
185,63475.19208541978
186,63475.192340015434
187,67820.57918343507
188,61343.828106434084
189,61343.82836102974
190,74212.19941939879
191,63626.09190673847
192,48705.286419569515
193,74722.21981751826
194,76107.99685449433
195,45340.378091122955
196,79112.84571625851
197,60427.68473366927
198,64898.52824451309
199,41707.43177543953
200,41707.43203003518
201,69198.67679640092
202,47790.97340714745
203,57973.182351006195
204,44314.66484895535
205,49685.76722590346
206,37518.685744659044
207,49685.76773509476
208,104587.81266489904
209,91551.65391680785
210,130660.13117946405
211,108933.19976291433
212,113278.58635173924
213,113278.5866063349
214,106206.81797518674
215,129468.7789391391
216,88337.94136879686
217,112196.23854650091
218,98206.87352469563
219,120778.00728906319
220,103396.46220674366
221,109661.51727875602
222,140482.57890711818
223,98647.7196021378
224,133078.97016118746
225,129468.78148509562
226,107006.65266500413
227,96625.35980364215
228,105086.98469100706
229,168475.265051472
230,109432.37153442763
231,105719.49052464683
232,116138.27166549955
233,82532.3049411457
234,109029.01551864669
235,102955.6212212136
236,143792.10670166928
237,116138.2729384778
238,114006.90794111043
239,101374.10622718278
240,168475.26785202418
241,116138.27395686042
242,122506.02136256266
243,112196.24516598694
244,98206.88014418166
245,111683.88420592807
246,94814.70059285779
247,113374.4051626185
248,125232.40544165205
249,89078.78511031158
250,107446.82941468433
251,100242.4372782819
252,113278.5965355644
253,87206.27878478635
254,130256.78534750734
255,89337.64454594161
256,113278.59755394701
257,132682.5039623361
258,95897.05272622313
259,108933.2119835047
260,165039.09253823292
261,99206.577720223
262,78074.66360322572
263,113278.59933611657
264,80097.02492929436
265,130660.14518222399
266,121969.37276836112
267,99241.67705027387
268,129768.38607955817
269,79837.77166026738
270,92682.27090675756
271,83991.49849289563
272,81969.13793061394
273,95897.05705434922
274,91551.67097471561
275,132682.50905424915
276,99350.68428591173
277,86314.52553782053
278,105718.43194620963
279,99350.68504969869
280,84292.16548473015
281,90659.9128904324
282,114409.20563304983
283,108041.45873653982
284,90659.91365421936
285,103696.07291150186
286,99350.68683186825
287,129768.39142606687
288,109852.1240576189
289,112386.84685293771
290,81969.14276793133
291,90659.91569098458
292,103696.07494826708
293,90659.91620017588
294,108041.46179168765
295,99350.68937782478
296,81969.14429550525
297,112386.84888970293
298,108933.2226765221
299,130660.15460226312
300,108933.2231857134
301,108933.22344030906
302,92873.93957380205
303,79837.78082571086
304,112277.84623678587
305,123101.05546542723
306,125569.89927768148
307,97769.57330910396
308,86864.77981297672
309,113278.61181130353
310,99241.68876167387
